policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
644081,12/28/1998,OH,500,3520.527571,0,47668,38,FEMALE,machine-op-inspct,exercise,1/15/2015,SC,total loss,Springfield,6851 3rd Drive,12,hail,other,NO,348400,500000,NO,348400,4200,352600,NO,YES,YES
892874,10/19/1992,IN,500,1527.302966,0,45873,58,FEMALE,transport-moving,base-jumping,1/29/2015,WV,major damage,Hillsdale,9573 Weaver Ave,12,fire,ambulance,NO,143200,300000,NO,124285,10520,134805,NO,YES,YES
558938,6/8/2005,OH,500,2548.879665,5000000,61988,26,MALE,machine-op-inspct,reading,2/22/2015,NY,major damage,Riverwood,5074 3rd St,0,fire,other,NO,233400,1000000,NO,150199,5790,155989,NO,NO,NO
275265,11/15/2004,IN,1000,2446.505793,6000000,47061,31,MALE,machine-op-inspct,video-games,1/6/2015,WV,total loss,Northbend,4546 Tree St,9,hail,other,NO,216600,1000000,NO,216600,14160,230760,NO,NO,NO
921202,12/28/2014,OH,500,4779.048157,0,47213,37,FEMALE,craft-repair,movies,1/19/2015,NY,total loss,Northbrook,3842 Solo Ridge,19,hail,other,NO,584600,1000000,YES,584600,6630,591230,NO,NO,NO
143972,8/2/1992,IN,1000,6410.696898,0,47767,39,FEMALE,handlers-cleaners,movies,2/22/2015,VA,major damage,Columbus,8101 3rd Ridge,8,hurricane,fire,NO,636200,1000000,NO,458677,6040,464717,NO,NO,NO
183430,6/25/2002,IN,1000,3406.50422,4000000,61884,62,MALE,other-service,reading,1/1/2015,NY,minor damage,Columbus,5380 Pine St,20,other,police,YES,402600,500000,NO,170470,0,170470,YES,NO,NO
431876,11/27/2005,IL,1000,1344.802624,0,44247,41,FEMALE,machine-op-inspct,skydiving,2/10/2015,SC,total loss,Arlington,8957 Weaver Drive,15,fire,ambulance,NO,120000,1000000,NO,120000,0,120000,YES,YES,NO
285496,5/27/1994,IL,500,4349.717144,0,44392,55,MALE,prof-specialty,paintball,1/11/2015,SC,major damage,Hillsdale,2526 Embaracadero Ave,20,fire,ambulance,NO,412000,300000,NO,305647,17880,323527,NO,NO,YES
115399,2/8/1991,IN,500,5279.253355,0,45314,55,MALE,priv-house-serv,exercise,1/19/2015,WV,total loss,Northbend,5667 4th Drive,15,hurricane,other,NO,448600,300000,YES,448600,8180,456780,YES,YES,YES
736882,2/2/1996,IN,1000,4993.94645,0,43473,40,MALE,craft-repair,exercise,2/24/2015,VA,minor damage,Riverwood,2502 Apache Hwy,6,hail,fire,NO,418000,300000,YES,210280,7080,217360,NO,NO,NO
699044,12/5/2013,OH,1000,2182.055612,0,61398,35,MALE,sales,exercise,1/9/2015,OH,major damage,Arlington,3418 Texas Lane,16,theft,other,NO,269400,300000,NO,207495,16500,223995,NO,NO,YES
863236,9/20/1990,IN,500,2349.820335,0,43698,43,MALE,prof-specialty,hiking,1/28/2015,PA,minor damage,Arlington,2533 Elm St,4,fire,none,NO,208800,300000,NO,106896,1640,108536,NO,YES,NO
608513,7/18/2002,IN,1000,7813.787803,3000000,60773,34,MALE,exec-managerial,reading,1/7/2015,VA,minor damage,Northbrook,3790 Andromedia Hwy,5,hurricane,other,NO,965400,300000,NO,410323,1040,411363,NO,NO,YES
914088,2/8/1990,OH,1000,5230.595567,0,60983,40,FEMALE,sales,video-games,1/8/2015,SC,minor damage,Northbend,3220 Rock Drive,21,hurricane,other,NO,500200,300000,NO,276338,7760,284098,NO,NO,NO
596785,3/4/2014,IL,1000,3720.297917,0,43221,45,FEMALE,machine-op-inspct,movies,2/15/2015,SC,minor damage,Northbrook,2100 Francis Drive,5,fire,none,NO,363800,1000000,YES,187914,14100,202014,NO,NO,NO
908616,2/18/2000,IL,500,1855.398402,0,47332,25,MALE,prof-specialty,exercise,1/18/2015,SC,major damage,Columbus,4687 5th Drive,22,other,none,NO,184400,500000,YES,122752,12600,135352,NO,NO,NO
666333,6/19/2008,IL,500,3368.81073,8000000,61039,37,MALE,craft-repair,kayaking,2/28/2015,WV,major damage,Riverwood,9038 2nd Lane,10,hail,ambulance,NO,304400,300000,NO,214722,7460,222182,YES,YES,YES
336614,8/1/2003,IL,500,3068.89737,0,61478,35,FEMALE,adm-clerical,cross-fit,2/24/2015,NY,total loss,Arlington,6092 5th Ave,16,fire,police,YES,294400,1000000,NO,294400,3310,297710,YES,NO,NO
584859,4/4/1992,IL,500,1920.984744,0,47224,30,MALE,farming-fishing,camping,1/9/2015,NY,major damage,Hillsdale,8353 Britain Ridge,1,fire,other,NO,237000,300000,NO,165758,14020,179778,NO,NO,NO
990493,1/13/1991,IL,500,4472.399838,0,60338,37,MALE,prof-specialty,cross-fit,2/12/2015,WV,total loss,Hillsdale,3540 Maple St,17,hail,other,NO,405600,1000000,NO,405600,10800,416400,NO,NO,NO
129872,8/8/2010,OH,500,2924.847393,6000000,47922,33,MALE,craft-repair,basketball,1/24/2015,WV,major damage,Springfield,3104 Sky Drive,15,theft,other,NO,262000,300000,NO,157307,10620,167927,NO,NO,YES
200152,3/9/2003,IL,1000,3890.895513,0,43014,28,FEMALE,protective-serv,base-jumping,1/9/2015,NY,total loss,Northbrook,4981 Weaver St,3,hail,other,NO,341000,300000,NO,341000,6020,347020,NO,NO,YES
933293,2/3/1993,IL,1000,1487.542093,0,62075,49,FEMALE,priv-house-serv,kayaking,1/18/2015,WV,minor damage,Arlington,6676 Tree Lane,16,fire,ambulance,NO,135800,1000000,YES,70193,1230,71423,NO,NO,NO
485664,11/25/2002,IN,500,4304.70295,0,61590,54,FEMALE,craft-repair,reading,1/21/2015,NY,major damage,Hillsdale,3930 Embaracadero St,4,hail,other,NO,369600,1000000,NO,226120,12460,238580,NO,YES,NO
982871,7/27/1997,IN,500,4122.720757,0,47461,37,MALE,tech-support,chess,1/8/2015,NC,major damage,Columbus,3422 Flute St,4,theft,none,NO,414400,500000,NO,258093,10940,269033,NO,NO,YES
206213,5/8/1995,IL,1000,4154.632184,0,45644,26,MALE,tech-support,sleeping,1/3/2015,WV,minor damage,Columbus,4862 Lincoln Hwy,19,theft,fire,NO,377200,300000,NO,217208,8000,225208,NO,NO,NO
616337,8/30/2012,IN,500,3384.243439,0,47057,34,MALE,transport-moving,golf,1/1/2015,WV,major damage,Northbrook,5719 2nd Lane,1,hurricane,fire,NO,393600,500000,NO,278206,16180,294386,NO,NO,YES
448961,4/30/2006,IL,1000,5204.444592,0,44164,23,FEMALE,prof-specialty,polo,1/16/2015,SC,minor damage,Springfield,3221 Solo Ridge,17,theft,none,NO,453000,1000000,NO,268658,5740,274398,NO,NO,NO
790442,4/13/2003,OH,1000,2657.803434,0,43378,30,FEMALE,transport-moving,dancing,2/10/2015,NC,total loss,Arlington,6660 MLK Drive,23,hurricane,other,NO,277400,500000,NO,277400,5680,283080,NO,YES,NO
108844,12/5/2007,IL,1000,2823.125064,0,46810,44,MALE,priv-house-serv,bungie-jumping,2/14/2015,SC,minor damage,Springfield,1699 Oak Drive,14,hail,other,NO,255600,300000,NO,144456,11280,155736,NO,YES,NO
430029,8/21/2006,IL,1000,4160.655704,0,45940,40,FEMALE,protective-serv,hiking,2/21/2015,NY,total loss,Arlington,4234 Cherokee Lane,17,hail,ambulance,NO,494400,500000,NO,494400,6890,501290,NO,YES,NO
529112,1/8/1990,IN,500,4221.778555,0,47257,33,FEMALE,other-service,golf,2/18/2015,NC,total loss,Northbend,7476 4th St,11,theft,ambulance,NO,380600,300000,NO,380600,0,380600,NO,NO,NO
939631,3/18/1990,OH,1000,2336.922884,4000000,43347,47,MALE,other-service,reading,1/10/2015,WV,major damage,Arlington,8907 Tree Ave,19,hurricane,other,NO,244400,1000000,NO,200370,6280,206650,NO,YES,YES
866931,1/7/2008,IN,500,2411.024483,8000000,44632,34,FEMALE,protective-serv,basketball,2/26/2015,NY,trivial damage,Arlington,6619 Flute Ave,5,fire,fire,NO,242000,1000000,NO,81294,810,82104,YES,YES,NO
582011,3/10/1997,IL,500,4927.405673,0,43548,35,FEMALE,exec-managerial,dancing,1/1/2015,WV,total loss,Springfield,6011 Britain St,19,fire,fire,NO,492200,300000,YES,492200,15320,507520,NO,NO,NO
691189,1/10/2004,OH,1000,6748.012596,7000000,47731,59,MALE,other-service,hiking,1/3/2015,NY,minor damage,Riverwood,5104 Francis Drive,19,other,police,YES,733400,500000,NO,408080,16360,424440,NO,NO,NO
537546,8/20/1994,IL,500,1576.333082,0,60993,27,FEMALE,farming-fishing,paintball,1/17/2015,NY,trivial damage,Arlington,2280 4th Ave,4,theft,police,NO,166800,300000,NO,13522,1320,14842,NO,NO,NO
394975,6/2/2002,IN,1000,3304.05803,0,60399,39,MALE,armed-forces,bungie-jumping,2/22/2015,WV,minor damage,Northbend,2644 Elm Drive,8,hail,ambulance,NO,280600,300000,NO,128233,430,128663,YES,NO,NO
729634,4/28/1994,IN,500,2298.714426,0,43781,40,FEMALE,priv-house-serv,hiking,1/27/2015,NC,major damage,Columbus,7466 MLK Ridge,7,theft,ambulance,NO,217000,300000,NO,155805,12820,168625,YES,NO,NO
282195,8/17/2014,OH,500,6947.971921,0,47842,39,MALE,machine-op-inspct,cross-fit,2/27/2015,VA,minor damage,Northbend,5821 2nd St,5,theft,none,NO,705200,500000,NO,298887,480,299367,NO,NO,NO
420810,8/11/2007,OH,500,6157.518728,0,46778,26,MALE,craft-repair,reading,1/6/2015,NY,minor damage,Arlington,6723 Best Drive,3,fire,fire,NO,533400,300000,NO,316358,15780,332138,YES,YES,NO
524836,11/20/2008,IN,500,2231.230252,0,60671,56,FEMALE,prof-specialty,hiking,2/28/2015,SC,major damage,Columbus,4866 4th Hwy,12,hail,other,NO,255000,500000,NO,158526,0,158526,YES,NO,NO
307195,10/18/1995,IN,500,1241.173087,0,46469,32,FEMALE,adm-clerical,chess,2/22/2015,VA,minor damage,Riverwood,5418 Britain Ave,19,fire,none,NO,134400,1000000,NO,68682,300,68982,YES,YES,NO
623648,5/19/1993,IL,1000,2445.405465,0,43168,39,MALE,other-service,sleeping,1/7/2015,WV,total loss,Riverwood,4296 Pine Hwy,22,theft,fire,NO,258800,500000,NO,258800,7310,266110,NO,YES,NO
485372,2/26/2005,OH,500,6413.633254,0,43172,36,FEMALE,adm-clerical,board-games,1/6/2015,VA,minor damage,Hillsdale,2299 1st St,12,theft,other,NO,541200,500000,NO,287591,11440,299031,YES,NO,NO
598554,2/14/1990,IN,1000,4361.234383,0,60921,34,MALE,machine-op-inspct,video-games,1/10/2015,NY,major damage,Springfield,6618 Cherokee Drive,15,hurricane,other,NO,401000,300000,NO,332244,15440,347684,NO,YES,YES
303987,9/30/1993,IL,500,2411.280258,0,45278,44,MALE,handlers-cleaners,sleeping,2/11/2015,OH,total loss,Springfield,7459 Flute St,23,other,none,NO,201200,1000000,NO,201200,7380,208580,NO,YES,NO
343161,6/10/2014,IL,500,2789.949451,0,46876,32,MALE,armed-forces,video-games,1/12/2015,WV,minor damage,Hillsdale,3567 4th Drive,12,hurricane,other,NO,269600,1000000,NO,124602,5630,130232,NO,YES,NO
519312,10/28/2008,OH,1000,2102.197383,0,43548,42,MALE,transport-moving,golf,2/6/2015,WV,major damage,Northbend,2457 Washington Ave,20,hurricane,ambulance,NO,255000,1000000,NO,179995,11420,191415,NO,NO,YES
132902,4/24/2007,OH,1000,2815.612785,5000000,45014,42,MALE,sales,dancing,1/20/2015,VA,total loss,Riverwood,1269 Flute Drive,16,other,fire,NO,341400,500000,NO,341400,6570,347970,NO,NO,YES
332867,12/13/1993,IN,500,6945.516167,0,45836,39,FEMALE,exec-managerial,board-games,2/22/2015,NY,minor damage,Arlington,1218 Sky Hwy,6,hail,other,NO,741000,300000,NO,357068,13720,370788,NO,NO,YES
356590,8/17/2011,IN,1000,3286.291972,7000000,47645,31,FEMALE,tech-support,basketball,1/30/2015,SC,minor damage,Springfield,9169 Pine Ridge,12,hurricane,other,NO,311000,500000,NO,142950,13800,156750,NO,NO,YES
346002,8/20/1990,OH,500,2756.576566,0,60243,64,FEMALE,adm-clerical,reading,2/2/2015,WV,minor damage,Hillsdale,8538 Texas Lane,17,hail,ambulance,NO,306200,500000,NO,146447,0,146447,NO,NO,NO
500533,2/11/1994,OH,500,1794.494473,0,47857,30,MALE,machine-op-inspct,basketball,1/10/2015,WV,major damage,Northbrook,5783 Oak Ave,8,hail,ambulance,NO,192000,300000,NO,120778,12460,133238,YES,NO,NO
348209,2/22/1994,IN,1000,4087.586932,0,44971,49,MALE,other-service,chess,2/27/2015,NC,minor damage,Riverwood,7721 Washington Ridge,13,theft,police,YES,465000,1000000,NO,192493,860,193353,NO,NO,NO
486676,8/15/2011,OH,1000,1840.25601,0,46318,42,FEMALE,prof-specialty,skydiving,2/20/2015,SC,major damage,Hillsdale,8006 Maple Hwy,12,hail,other,NO,183200,300000,NO,144127,12420,156547,YES,NO,YES
260845,11/11/1998,OH,500,4322.258306,0,44199,41,FEMALE,armed-forces,sleeping,2/8/2015,WV,total loss,Northbrook,6751 Pine Ridge,7,fire,fire,NO,361200,300000,NO,361200,6810,368010,NO,NO,YES
657045,12/4/1995,OH,500,6315.396744,0,45259,41,FEMALE,sales,dancing,2/11/2015,NC,minor damage,Arlington,2324 Texas Ridge,10,hurricane,other,NO,591600,500000,NO,322739,3010,325749,NO,NO,NO
761189,12/28/2002,IN,500,3853.919611,0,61441,37,FEMALE,transport-moving,yachting,2/23/2015,SC,minor damage,Riverwood,7923 Elm Ave,7,theft,fire,NO,371400,300000,NO,191506,9520,201026,NO,NO,NO
175177,4/15/2004,IL,1000,5451.85447,0,47289,40,FEMALE,sales,paintball,3/1/2015,VA,minor damage,Springfield,4755 Best Lane,18,hail,other,NO,670200,300000,NO,399284,9540,408824,YES,NO,NO
116700,2/2/2001,OH,500,4188.463739,0,47584,35,FEMALE,transport-moving,base-jumping,1/15/2015,SC,total loss,Riverwood,5053 Tree Drive,22,theft,fire,NO,393200,300000,NO,393200,11380,404580,YES,NO,NO
166264,1/12/2010,OH,500,2890.400535,0,47697,45,FEMALE,handlers-cleaners,basketball,1/14/2015,NY,minor damage,Springfield,2078 3rd Ave,18,hail,other,NO,319000,1000000,NO,158953,14900,173853,YES,NO,NO
527945,4/14/1992,IN,500,5417.454999,0,60064,47,MALE,transport-moving,dancing,2/17/2015,WV,total loss,Northbrook,2804 Best St,22,theft,ambulance,NO,506400,500000,NO,506400,10860,517260,NO,NO,NO
627540,5/21/2010,OH,500,4785.089831,6000000,60833,39,FEMALE,other-service,sleeping,1/24/2015,SC,minor damage,Springfield,7877 Sky Lane,15,hurricane,ambulance,NO,494200,1000000,NO,218606,1240,219846,YES,NO,NO
279422,10/27/2013,OH,1000,2769.879207,0,47160,38,FEMALE,handlers-cleaners,basketball,1/21/2015,SC,major damage,Northbrook,6530 Weaver Ave,16,hail,other,NO,318800,1000000,NO,209014,14440,223454,NO,NO,YES
484200,10/12/1994,OH,1000,1952.527151,0,44117,31,MALE,exec-managerial,basketball,2/19/2015,NC,minor damage,Arlington,3087 Oak Hwy,6,fire,police,NO,201600,500000,NO,99742,10160,109902,YES,NO,NO
645258,7/4/1997,OH,500,2202.373362,5000000,60312,40,FEMALE,exec-managerial,dancing,1/3/2015,NC,trivial damage,Northbrook,7098 Lincoln Hwy,10,hail,other,NO,232400,1000000,NO,11998,660,12658,YES,NO,NO
694662,2/15/2011,IL,500,2833.647982,6000000,45776,29,MALE,other-service,kayaking,1/29/2015,NY,minor damage,Northbrook,5124 Maple St,3,fire,other,NO,243600,500000,NO,125229,750,125979,YES,NO,NO
960680,8/21/1994,IN,1000,2674.658298,0,61849,35,MALE,exec-managerial,reading,1/19/2015,VA,trivial damage,Hillsdale,2333 Maple Lane,13,hail,other,NO,291200,500000,NO,109379,1180,110559,NO,NO,NO
498140,5/15/1997,IN,1000,2225.908177,0,60548,48,MALE,prof-specialty,movies,1/19/2015,NY,major damage,Hillsdale,1012 5th Lane,16,hurricane,other,NO,202200,1000000,NO,122366,5540,127906,NO,YES,YES
498875,10/26/1996,OH,1000,5378.911615,0,61797,41,MALE,transport-moving,sleeping,2/2/2015,NY,major damage,Northbrook,7477 MLK Drive,13,hail,ambulance,NO,623000,300000,NO,395581,5830,401411,NO,YES,NO
798177,3/4/2006,IL,1000,1196.349451,4000000,43293,34,FEMALE,priv-house-serv,sleeping,1/30/2015,SC,minor damage,Columbus,9489 3rd St,9,hurricane,other,NO,115000,1000000,NO,60234,11400,71634,NO,NO,NO
614763,1/2/1991,IL,500,9171.926,0,45676,32,FEMALE,other-service,board-games,1/8/2015,VA,total loss,Springfield,2087 Apache Ave,2,fire,other,NO,847400,1000000,NO,847400,11680,859080,NO,NO,NO
679370,8/15/1999,IL,1000,2024.873227,9000000,60174,36,FEMALE,prof-specialty,base-jumping,1/30/2015,WV,trivial damage,Arlington,5540 Sky St,9,hurricane,ambulance,NO,199800,1000000,NO,54875,940,55815,NO,NO,NO
958857,1/15/1992,IN,1000,4107.384673,0,60776,25,FEMALE,exec-managerial,video-games,1/7/2015,SC,major damage,Columbus,7238 2nd St,12,hurricane,other,NO,344400,300000,NO,223770,0,223770,NO,YES,YES
686816,12/7/1999,OH,500,1436.553536,5000000,43697,29,FEMALE,sales,kayaking,2/24/2015,SC,total loss,Arlington,8442 Britain Hwy,12,hail,other,NO,151600,500000,NO,151600,10300,161900,NO,YES,NO
127754,6/6/1993,IL,1000,1982.190437,4000000,47130,23,FEMALE,tech-support,yachting,2/2/2015,NY,major damage,Columbus,1331 Britain Hwy,14,hail,other,NO,183200,500000,NO,150514,8940,159454,YES,NO,YES
918629,10/3/2000,IL,500,2088.827494,0,45327,42,MALE,farming-fishing,hiking,2/28/2015,WV,trivial damage,Springfield,5260 Francis Drive,9,other,fire,NO,199800,500000,NO,41764,590,42354,NO,NO,NO
731450,12/29/2010,IN,1000,4219.538444,0,46510,43,FEMALE,exec-managerial,paintball,2/9/2015,NC,major damage,Riverwood,1135 Solo Lane,3,theft,fire,NO,494600,300000,NO,297449,5890,303339,NO,NO,NO
307447,3/17/1990,IL,500,2609.043179,0,60324,42,FEMALE,machine-op-inspct,sleeping,1/19/2015,SC,total loss,Northbend,9737 Solo Hwy,21,theft,ambulance,NO,306400,300000,NO,306400,17040,323440,NO,NO,NO
992145,3/1/2012,IL,1000,6197.804248,5000000,60111,25,FEMALE,armed-forces,yachting,2/21/2015,OH,minor damage,Northbrook,3289 Britain Drive,5,hurricane,other,NO,598600,300000,NO,349975,1260,351235,NO,NO,NO
900628,2/5/2006,IN,500,2507.525307,0,43883,47,FEMALE,protective-serv,movies,1/14/2015,VA,major damage,Springfield,6550 Andromedia St,11,other,fire,NO,255000,1000000,NO,204350,6630,210980,NO,NO,YES
235220,11/1/2014,IL,500,2397.467752,0,46495,25,MALE,farming-fishing,paintball,1/22/2015,SC,minor damage,Hillsdale,1679 2nd Hwy,4,other,none,NO,209600,500000,NO,123465,7210,130675,YES,YES,YES
740019,6/17/2009,OH,1000,2209.124076,0,43978,48,FEMALE,machine-op-inspct,paintball,2/22/2015,WV,trivial damage,Columbus,3998 Flute St,6,hail,other,NO,196000,500000,NO,13600,900,14500,NO,NO,NO
246882,9/20/1999,IL,1000,1373.203898,0,46483,42,MALE,exec-managerial,yachting,1/26/2015,NC,trivial damage,Northbrook,2430 MLK Ave,10,fire,ambulance,NO,152200,300000,NO,15541,700,16241,YES,YES,NO
797613,10/19/1990,IN,500,4315.846972,0,44898,41,FEMALE,protective-serv,reading,1/24/2015,SC,minor damage,Northbend,7717 Britain Hwy,23,theft,police,NO,452200,300000,NO,259821,15860,275681,NO,NO,NO
193442,8/5/1996,IL,500,5639.306302,0,44032,27,FEMALE,tech-support,polo,2/19/2015,WV,major damage,Northbend,7773 Tree Hwy,13,theft,other,NO,535400,300000,NO,449757,10560,460317,YES,NO,NO
389238,6/6/2001,IL,1000,1170.895303,0,46074,41,FEMALE,prof-specialty,basketball,1/29/2015,NC,minor damage,Northbrook,2199 Texas Drive,16,theft,ambulance,NO,105200,500000,NO,50441,0,50441,NO,YES,NO
760179,3/25/2007,OH,1000,2828.719251,0,44689,33,FEMALE,tech-support,skydiving,2/15/2015,WV,minor damage,Northbend,1028 Sky Lane,3,hail,other,NO,327800,300000,NO,160152,330,160482,YES,NO,NO
939905,10/31/2013,OH,1000,5399.816527,0,60937,54,MALE,other-service,polo,2/12/2015,SC,total loss,Northbend,4154 Lincoln Hwy,15,other,police,YES,455200,1000000,NO,455200,15580,470780,NO,NO,NO
872814,6/13/1992,IL,500,6727.2144,0,45167,49,MALE,prof-specialty,kayaking,1/1/2015,WV,minor damage,Columbus,8085 Andromedia St,4,hurricane,other,NO,731600,300000,NO,391216,480,391696,NO,NO,NO
632627,10/7/1990,OH,1000,2070.726316,0,60445,61,FEMALE,prof-specialty,sleeping,1/13/2015,VA,major damage,Northbend,4793 4th Ridge,6,fire,none,NO,187200,1000000,NO,138342,6650,144992,NO,YES,YES
283414,12/28/1991,IN,1000,4261.98648,0,43289,28,FEMALE,handlers-cleaners,basketball,3/1/2015,WV,major damage,Columbus,7428 Sky Hwy,22,fire,police,NO,438000,1000000,NO,343377,7420,350797,NO,NO,NO
163161,11/11/1998,IL,500,4769.196778,0,61892,47,FEMALE,machine-op-inspct,camping,2/2/2015,NY,major damage,Northbrook,2306 5th Lane,1,other,none,NO,520200,1000000,NO,354405,10860,365265,NO,NO,YES
853360,6/26/2009,IN,500,1651.064731,0,45131,31,FEMALE,sales,camping,1/27/2015,NY,major damage,Springfield,3052 Weaver Ridge,16,hail,other,NO,158400,1000000,YES,121944,5540,127484,YES,NO,YES
776860,1/11/2009,OH,1000,5016.922372,0,60514,42,FEMALE,prof-specialty,video-games,1/12/2015,SC,minor damage,Riverwood,5211 Weaver Drive,18,fire,police,YES,605600,500000,NO,295193,7470,302663,NO,YES,NO
149367,3/18/2003,IN,500,5091.761251,6000000,45950,60,MALE,craft-repair,dancing,1/6/2015,NC,major damage,Springfield,7253 MLK St,0,other,other,NO,437000,300000,NO,329501,14000,343501,NO,YES,YES
395269,11/2/2012,IL,500,2425.849174,0,43278,41,MALE,exec-managerial,exercise,1/30/2015,WV,total loss,Columbus,1454 5th Ridge,12,theft,ambulance,NO,214200,1000000,NO,214200,14740,228940,NO,NO,NO
981123,5/4/2000,IN,500,4930.423866,0,45274,32,MALE,protective-serv,hiking,3/1/2015,VA,major damage,Hillsdale,5622 Best Ridge,13,other,police,YES,558600,300000,YES,421990,14430,436420,NO,NO,NO
143626,9/29/1999,OH,1000,2360.940544,0,61831,51,MALE,armed-forces,bungie-jumping,2/24/2015,VA,minor damage,Northbrook,4574 Britain Hwy,9,hurricane,other,NO,274800,500000,NO,146559,1180,147739,NO,NO,NO
648397,3/9/1999,IN,500,4485.029196,10000000,45536,46,MALE,machine-op-inspct,golf,1/24/2015,NY,total loss,Riverwood,4539 Texas St,14,hurricane,other,NO,453000,300000,YES,453000,4770,457770,NO,YES,YES
154982,2/13/1991,IL,1000,1392.946747,0,47060,31,FEMALE,machine-op-inspct,chess,2/26/2015,SC,minor damage,Hillsdale,8118 Elm Ridge,16,fire,none,NO,129600,1000000,YES,55791,9320,65111,YES,NO,NO
330591,8/5/1993,OH,1000,1881.672917,0,47529,41,MALE,exec-managerial,skydiving,1/19/2015,NY,major damage,Northbend,3814 Britain Drive,20,hurricane,other,NO,210200,1000000,NO,189113,6400,195513,NO,NO,YES
319232,10/31/1997,IL,500,3224.519207,0,46774,38,FEMALE,transport-moving,yachting,1/17/2015,NY,minor damage,Hillsdale,4614 MLK Ave,4,other,other,NO,402200,500000,YES,217274,18000,235274,YES,YES,NO
531640,4/21/2001,OH,500,3523.458655,8000000,46067,39,FEMALE,adm-clerical,dancing,2/20/2015,NY,minor damage,Arlington,1628 Best Drive,7,fire,none,NO,333200,500000,YES,199236,13240,212476,NO,NO,NO
