,Unnamed: 0,policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
47,47,939631,3/18/1990,OH,1000,2336.922884,4000000,43347,47,MALE,farming-fishing,chess,1/10/2015,WV,major damage,Arlington,8907 Tree Ave,19,hurricane,other,NO,244400,1000000,NO,200370,6280,206650,NO,YES,YES
48,48,866931,1/7/2008,IN,500,2411.024483,8000000,44632,34,FEMALE,farming-fishing,kayaking,2/26/2015,NY,trivial damage,Arlington,6619 Flute Ave,5,fire,fire,NO,242000,1000000,NO,81294,810,82104,YES,YES,NO
49,49,582011,3/10/1997,IL,500,4927.405672999998,0,43548,35,FEMALE,exec-managerial,camping,1/1/2015,WV,total loss,Springfield,6011 Britain St,19,fire,fire,NO,492200,300000,YES,492200,15320,507520,NO,NO,NO
50,50,691189,1/10/2004,OH,1000,6748.012596,7000000,47731,59,MALE,armed-forces,camping,1/3/2015,NY,minor damage,Riverwood,5104 Francis Drive,19,other,police,YES,733400,500000,NO,408080,16360,424440,NO,NO,NO
51,51,537546,8/20/1994,IL,500,1576.333082,0,60993,27,FEMALE,armed-forces,chess,1/17/2015,NY,trivial damage,Arlington,2280 4th Ave,4,theft,police,NO,166800,300000,NO,13522,1320,14842,NO,NO,NO
52,52,394975,6/2/2002,IN,1000,3304.05803,0,60399,39,MALE,sales,video-games,2/22/2015,WV,minor damage,Northbend,2644 Elm Drive,8,hail,ambulance,NO,280600,300000,NO,128233,430,128663,YES,NO,NO
53,53,729634,4/28/1994,IN,500,2298.714426,0,43781,40,FEMALE,armed-forces,basketball,1/27/2015,NC,major damage,Columbus,7466 MLK Ridge,7,theft,ambulance,NO,217000,300000,NO,155805,12820,168625,YES,NO,NO
54,54,282195,8/17/2014,OH,500,6947.9719209999985,0,47842,39,MALE,farming-fishing,basketball,2/27/2015,VA,minor damage,Northbend,5821 2nd St,5,theft,none,NO,705200,500000,NO,298887,480,299367,NO,NO,NO
55,55,420810,8/11/2007,OH,500,6157.518728,0,46778,26,MALE,sales,reading,1/6/2015,NY,minor damage,Arlington,6723 Best Drive,3,fire,fire,NO,533400,300000,NO,316358,15780,332138,YES,YES,NO
56,56,524836,11/20/2008,IN,500,2231.230252,0,60671,56,FEMALE,transport-moving,exercise,2/28/2015,SC,major damage,Columbus,4866 4th Hwy,12,hail,other,NO,255000,500000,NO,158526,0,158526,YES,NO,NO
57,57,307195,10/18/1995,IN,500,1241.173087,0,46469,32,FEMALE,tech-support,reading,2/22/2015,VA,minor damage,Riverwood,5418 Britain Ave,19,fire,none,NO,134400,1000000,NO,68682,300,68982,YES,YES,NO
58,58,623648,5/19/1993,IL,1000,2445.405465,0,43168,39,MALE,other-service,dancing,1/7/2015,WV,total loss,Riverwood,4296 Pine Hwy,22,theft,fire,NO,258800,500000,NO,258800,7310,266110,NO,YES,NO
59,59,485372,2/26/2005,OH,500,6413.633254,0,43172,36,FEMALE,craft-repair,hiking,1/6/2015,VA,minor damage,Hillsdale,2299 1st St,12,theft,other,NO,541200,500000,NO,287591,11440,299031,YES,NO,NO
60,60,598554,2/14/1990,IN,1000,4361.234383,0,60921,34,MALE,exec-managerial,kayaking,1/10/2015,NY,major damage,Springfield,6618 Cherokee Drive,15,hurricane,other,NO,401000,300000,NO,332244,15440,347684,NO,YES,YES
61,61,303987,9/30/1993,IL,500,2411.280258,0,45278,44,MALE,farming-fishing,board-games,2/11/2015,OH,total loss,Springfield,7459 Flute St,23,other,none,NO,201200,1000000,NO,201200,7380,208580,NO,YES,NO
62,62,343161,6/10/2014,IL,500,2789.949451,0,46876,32,MALE,transport-moving,hiking,1/12/2015,WV,minor damage,Hillsdale,3567 4th Drive,12,hurricane,other,NO,269600,1000000,NO,124602,5630,130232,NO,YES,NO
63,63,519312,10/28/2008,OH,1000,2102.197383,0,43548,42,MALE,transport-moving,board-games,2/6/2015,WV,major damage,Northbend,2457 Washington Ave,20,hurricane,ambulance,NO,255000,1000000,NO,179995,11420,191415,NO,NO,YES
64,64,132902,4/24/2007,OH,1000,2815.6127850000007,5000000,45014,42,MALE,exec-managerial,dancing,1/20/2015,VA,total loss,Riverwood,1269 Flute Drive,16,other,fire,NO,341400,500000,NO,341400,6570,347970,NO,NO,YES
65,65,332867,12/13/1993,IN,500,6945.516167,0,45836,39,FEMALE,tech-support,camping,2/22/2015,NY,minor damage,Arlington,1218 Sky Hwy,6,hail,other,NO,741000,300000,NO,357068,13720,370788,NO,NO,YES
66,66,356590,8/17/2011,IN,1000,3286.291972,7000000,47645,31,FEMALE,other-service,video-games,1/30/2015,SC,minor damage,Springfield,9169 Pine Ridge,12,hurricane,other,NO,311000,500000,NO,142950,13800,156750,NO,NO,YES
67,67,346002,8/20/1990,OH,500,2756.576566,0,60243,64,FEMALE,sales,reading,2/2/2015,WV,minor damage,Hillsdale,8538 Texas Lane,17,hail,ambulance,NO,306200,500000,NO,146447,0,146447,NO,NO,NO
68,68,500533,2/11/1994,OH,500,1794.494473,0,47857,30,MALE,tech-support,video-games,1/10/2015,WV,major damage,Northbrook,5783 Oak Ave,8,hail,ambulance,NO,192000,300000,NO,120778,12460,133238,YES,NO,NO
69,69,348209,2/22/1994,IN,1000,4087.586932,0,44971,49,MALE,transport-moving,video-games,2/27/2015,NC,minor damage,Riverwood,7721 Washington Ridge,13,theft,police,YES,465000,1000000,NO,192493,860,193353,NO,NO,NO
70,70,486676,8/15/2011,OH,1000,1840.25601,0,46318,42,FEMALE,craft-repair,kayaking,2/20/2015,SC,major damage,Hillsdale,8006 Maple Hwy,12,hail,other,NO,183200,300000,NO,144127,12420,156547,YES,NO,YES
71,71,260845,11/11/1998,OH,500,4322.2583060000015,0,44199,41,FEMALE,other-service,exercise,2/8/2015,WV,total loss,Northbrook,6751 Pine Ridge,7,fire,fire,NO,361200,300000,NO,361200,6810,368010,NO,NO,YES
72,72,657045,12/4/1995,OH,500,6315.396744,0,45259,41,FEMALE,armed-forces,kayaking,2/11/2015,NC,minor damage,Arlington,2324 Texas Ridge,10,hurricane,other,NO,591600,500000,NO,322739,3010,325749,NO,NO,NO
73,73,761189,12/28/2002,IN,500,3853.919611,0,61441,37,FEMALE,sales,movies,2/23/2015,SC,minor damage,Riverwood,7923 Elm Ave,7,theft,fire,NO,371400,300000,NO,191506,9520,201026,NO,NO,NO
74,74,175177,4/15/2004,IL,1000,5451.85447,0,47289,40,FEMALE,farming-fishing,chess,3/1/2015,VA,minor damage,Springfield,4755 Best Lane,18,hail,other,NO,670200,300000,NO,399284,9540,408824,YES,NO,NO
75,75,116700,2/2/2001,OH,500,4188.463739,0,47584,35,FEMALE,transport-moving,camping,1/15/2015,SC,total loss,Riverwood,5053 Tree Drive,22,theft,fire,NO,393200,300000,NO,393200,11380,404580,YES,NO,NO
76,76,166264,1/12/2010,OH,500,2890.400535,0,47697,45,FEMALE,craft-repair,movies,1/14/2015,NY,minor damage,Springfield,2078 3rd Ave,18,hail,other,NO,319000,1000000,NO,158953,14900,173853,YES,NO,NO
77,77,527945,4/14/1992,IN,500,5417.454999000001,0,60064,47,MALE,other-service,chess,2/17/2015,WV,total loss,Northbrook,2804 Best St,22,theft,ambulance,NO,506400,500000,NO,506400,10860,517260,NO,NO,NO
78,78,627540,5/21/2010,OH,500,4785.089831,6000000,60833,39,FEMALE,farming-fishing,basketball,1/24/2015,SC,minor damage,Springfield,7877 Sky Lane,15,hurricane,ambulance,NO,494200,1000000,NO,218606,1240,219846,YES,NO,NO
79,79,279422,10/27/2013,OH,1000,2769.879207,0,47160,38,FEMALE,armed-forces,reading,1/21/2015,SC,major damage,Northbrook,6530 Weaver Ave,16,hail,other,NO,318800,1000000,NO,209014,14440,223454,NO,NO,YES
80,80,484200,10/12/1994,OH,1000,1952.527151,0,44117,31,MALE,craft-repair,reading,2/19/2015,NC,minor damage,Arlington,3087 Oak Hwy,6,fire,police,NO,201600,500000,NO,99742,10160,109902,YES,NO,NO
81,81,645258,7/4/1997,OH,500,2202.3733620000007,5000000,60312,40,FEMALE,craft-repair,hiking,1/3/2015,NC,trivial damage,Northbrook,7098 Lincoln Hwy,10,hail,other,NO,232400,1000000,NO,11998,660,12658,YES,NO,NO
82,82,694662,2/15/2011,IL,500,2833.647982,6000000,45776,29,MALE,sales,hiking,1/29/2015,NY,minor damage,Northbrook,5124 Maple St,3,fire,other,NO,243600,500000,NO,125229,750,125979,YES,NO,NO
83,83,960680,8/21/1994,IN,1000,2674.658298,0,61849,35,MALE,craft-repair,kayaking,1/19/2015,VA,trivial damage,Hillsdale,2333 Maple Lane,13,hail,other,NO,291200,500000,NO,109379,1180,110559,NO,NO,NO
84,84,498140,5/15/1997,IN,1000,2225.908177,0,60548,48,MALE,exec-managerial,camping,1/19/2015,NY,major damage,Hillsdale,1012 5th Lane,16,hurricane,other,NO,202200,1000000,NO,122366,5540,127906,NO,YES,YES
85,85,498875,10/26/1996,OH,1000,5378.911615,0,61797,41,MALE,adm-clerical,kayaking,2/2/2015,NY,major damage,Northbrook,7477 MLK Drive,13,hail,ambulance,NO,623000,300000,NO,395581,5830,401411,NO,YES,NO
86,86,798177,3/4/2006,IL,1000,1196.349451,4000000,43293,34,FEMALE,exec-managerial,board-games,1/30/2015,SC,minor damage,Columbus,9489 3rd St,9,hurricane,other,NO,115000,1000000,NO,60234,11400,71634,NO,NO,NO
87,87,614763,1/2/1991,IL,500,9171.926,0,45676,32,FEMALE,other-service,video-games,1/8/2015,VA,total loss,Springfield,2087 Apache Ave,2,fire,other,NO,847400,1000000,NO,847400,11680,859080,NO,NO,NO
88,88,679370,8/15/1999,IL,1000,2024.873227,9000000,60174,36,FEMALE,armed-forces,video-games,1/30/2015,WV,trivial damage,Arlington,5540 Sky St,9,hurricane,ambulance,NO,199800,1000000,NO,54875,940,55815,NO,NO,NO
89,89,958857,1/15/1992,IN,1000,4107.384673,0,60776,25,FEMALE,transport-moving,kayaking,1/7/2015,SC,major damage,Columbus,7238 2nd St,12,hurricane,other,NO,344400,300000,NO,223770,0,223770,NO,YES,YES
90,90,686816,12/7/1999,OH,500,1436.553536,5000000,43697,29,FEMALE,sales,movies,2/24/2015,SC,total loss,Arlington,8442 Britain Hwy,12,hail,other,NO,151600,500000,NO,151600,10300,161900,NO,YES,NO
91,91,127754,6/6/1993,IL,1000,1982.190437,4000000,47130,23,FEMALE,other-service,dancing,2/2/2015,NY,major damage,Columbus,1331 Britain Hwy,14,hail,other,NO,183200,500000,NO,150514,8940,159454,YES,NO,YES
92,92,918629,10/3/2000,IL,500,2088.827494,0,45327,42,MALE,craft-repair,reading,2/28/2015,WV,trivial damage,Springfield,5260 Francis Drive,9,other,fire,NO,199800,500000,NO,41764,590,42354,NO,NO,NO
93,93,731450,12/29/2010,IN,1000,4219.538444,0,46510,43,FEMALE,tech-support,reading,2/9/2015,NC,major damage,Riverwood,1135 Solo Lane,3,theft,fire,NO,494600,300000,NO,297449,5890,303339,NO,NO,NO
94,94,307447,3/17/1990,IL,500,2609.043179,0,60324,42,FEMALE,armed-forces,hiking,1/19/2015,SC,total loss,Northbend,9737 Solo Hwy,21,theft,ambulance,NO,306400,300000,NO,306400,17040,323440,NO,NO,NO
95,95,992145,3/1/2012,IL,1000,6197.804248,5000000,60111,25,FEMALE,transport-moving,dancing,2/21/2015,OH,minor damage,Northbrook,3289 Britain Drive,5,hurricane,other,NO,598600,300000,NO,349975,1260,351235,NO,NO,NO
96,96,900628,2/5/2006,IN,500,2507.525307,0,43883,47,FEMALE,tech-support,exercise,1/14/2015,VA,major damage,Springfield,6550 Andromedia St,11,other,fire,NO,255000,1000000,NO,204350,6630,210980,NO,NO,YES
97,97,235220,11/1/2014,IL,500,2397.467752,0,46495,25,MALE,farming-fishing,board-games,1/22/2015,SC,minor damage,Hillsdale,1679 2nd Hwy,4,other,none,NO,209600,500000,NO,123465,7210,130675,YES,YES,YES
98,98,740019,6/17/2009,OH,1000,2209.124076,0,43978,48,FEMALE,sales,video-games,2/22/2015,WV,trivial damage,Columbus,3998 Flute St,6,hail,other,NO,196000,500000,NO,13600,900,14500,NO,NO,NO
99,99,246882,9/20/1999,IL,1000,1373.203898,0,46483,42,MALE,other-service,camping,1/26/2015,NC,trivial damage,Northbrook,2430 MLK Ave,10,fire,ambulance,NO,152200,300000,NO,15541,700,16241,YES,YES,NO
100,100,797613,10/19/1990,IN,500,4315.846972,0,44898,41,FEMALE,farming-fishing,exercise,1/24/2015,SC,minor damage,Northbend,7717 Britain Hwy,23,theft,police,NO,452200,300000,NO,259821,15860,275681,NO,NO,NO
101,101,193442,8/5/1996,IL,500,5639.306302,0,44032,27,FEMALE,sales,dancing,2/19/2015,WV,major damage,Northbend,7773 Tree Hwy,13,theft,other,NO,535400,300000,NO,449757,10560,460317,YES,NO,NO
102,102,389238,6/6/2001,IL,1000,1170.895303,0,46074,41,FEMALE,transport-moving,kayaking,1/29/2015,NC,minor damage,Northbrook,2199 Texas Drive,16,theft,ambulance,NO,105200,500000,NO,50441,0,50441,NO,YES,NO
103,103,760179,3/25/2007,OH,1000,2828.719251,0,44689,33,FEMALE,tech-support,hiking,2/15/2015,WV,minor damage,Northbend,1028 Sky Lane,3,hail,other,NO,327800,300000,NO,160152,330,160482,YES,NO,NO
104,104,939905,10/31/2013,OH,1000,5399.816527,0,60937,54,MALE,tech-support,kayaking,2/12/2015,SC,total loss,Northbend,4154 Lincoln Hwy,15,other,police,YES,455200,1000000,NO,455200,15580,470780,NO,NO,NO
105,105,872814,6/13/1992,IL,500,6727.2144,0,45167,49,MALE,transport-moving,exercise,1/1/2015,WV,minor damage,Columbus,8085 Andromedia St,4,hurricane,other,NO,731600,300000,NO,391216,480,391696,NO,NO,NO
106,106,632627,10/7/1990,OH,1000,2070.726316,0,60445,61,FEMALE,tech-support,hiking,1/13/2015,VA,major damage,Northbend,4793 4th Ridge,6,fire,none,NO,187200,1000000,NO,138342,6650,144992,NO,YES,YES
107,107,283414,12/28/1991,IN,1000,4261.98648,0,43289,28,FEMALE,armed-forces,camping,3/1/2015,WV,major damage,Columbus,7428 Sky Hwy,22,fire,police,NO,438000,1000000,NO,343377,7420,350797,NO,NO,NO
108,108,163161,11/11/1998,IL,500,4769.196778,0,61892,47,FEMALE,transport-moving,kayaking,2/2/2015,NY,major damage,Northbrook,2306 5th Lane,1,other,none,NO,520200,1000000,NO,354405,10860,365265,NO,NO,YES
109,109,853360,6/26/2009,IN,500,1651.0647310000004,0,45131,31,FEMALE,farming-fishing,board-games,1/27/2015,NY,major damage,Springfield,3052 Weaver Ridge,16,hail,other,NO,158400,1000000,YES,121944,5540,127484,YES,NO,YES
110,110,776860,1/11/2009,OH,1000,5016.922372,0,60514,42,FEMALE,other-service,dancing,1/12/2015,SC,minor damage,Riverwood,5211 Weaver Drive,18,fire,police,YES,605600,500000,NO,295193,7470,302663,NO,YES,NO
111,111,149367,3/18/2003,IN,500,5091.761251,6000000,45950,60,MALE,other-service,camping,1/6/2015,NC,major damage,Springfield,7253 MLK St,0,other,other,NO,437000,300000,NO,329501,14000,343501,NO,YES,YES
112,112,395269,11/2/2012,IL,500,2425.849174,0,43278,41,MALE,other-service,movies,1/30/2015,WV,total loss,Columbus,1454 5th Ridge,12,theft,ambulance,NO,214200,1000000,NO,214200,14740,228940,NO,NO,NO
113,113,981123,5/4/2000,IN,500,4930.423866,0,45274,32,MALE,farming-fishing,camping,3/1/2015,VA,major damage,Hillsdale,5622 Best Ridge,13,other,police,YES,558600,300000,YES,421990,14430,436420,NO,NO,NO
114,114,143626,9/29/1999,OH,1000,2360.940544,0,61831,51,MALE,craft-repair,video-games,2/24/2015,VA,minor damage,Northbrook,4574 Britain Hwy,9,hurricane,other,NO,274800,500000,NO,146559,1180,147739,NO,NO,NO
115,115,648397,3/9/1999,IN,500,4485.029196,10000000,45536,46,MALE,other-service,camping,1/24/2015,NY,total loss,Riverwood,4539 Texas St,14,hurricane,other,NO,453000,300000,YES,453000,4770,457770,NO,YES,YES
116,116,154982,2/13/1991,IL,1000,1392.946747,0,47060,31,FEMALE,tech-support,board-games,2/26/2015,SC,minor damage,Hillsdale,8118 Elm Ridge,16,fire,none,NO,129600,1000000,YES,55791,9320,65111,YES,NO,NO
